Субьект РФ;1990;1996;2001;2004;2005;2006;2007;2008;2009;2010
Белгородская область;1388;1467;1507;1513;1512;1511;1514;1519;1525;1530
Брянская область;1471;1467;1408;1361;1346;1331;1317;1309;1300;1292
Владимирская область;1657;1624;1558;1504;1487;1473;1459;1449;1440;1430
Воронежская область;2471;2491;2422;2353;2334;2314;2295;2280;2270;2262
Ивановская область;1295;1249;1179;1130;1115;1100;1088;1080;1073;1067
Калужская область;1069;1089;1060;1029;1022;1014;1009;1006;1003;1002
Костромская область;805;788;754;726;717;709;702;697;692;688
Курская область;1333;1325;1267;1214;1199;1184;1171;1162;1156;1149
Липецкая область;1232;1246;1228;1201;1190;1181;1174;1169;1163;1158
Московская область;6700;6660;6614;6622;6630;6628;6646;6673;6713;6753
Орловская область;895;906;877;850;842;834;827;822;817;812
Рязанская область;1350;1322;1259;1208;1195;1182;1172;1165;1158;1151
Смоленская область;1159;1151;1082;1032;1019;1006;994;983;974;966
Тамбовская область;1319;1288;1213;1159;1145;1130;1117;1106;1097;1089
Тверская область;1666;1612;1520;1444;1425;1407;1390;1380;1369;1360
Тульская область;1856;1810;1719;1645;1622;1600;1580;1566;1553;1540
Ярославская область;1472;1447;1394;1351;1339;1328;1320;1315;1310;1306
г. Москва;8880;9247;10114;10391;10407;10425;10443;10470;10509;10563
Республика Карелия;792;764;729;709;703;698;693;691;687;684
Республика Коми;1249;1133;1043;1005;996;985;975;968;959;951
Архангельская область;1576;1476;1369;1318;1305;1291;1280;1272;1262;1254
Ненецкий автономный округ;52;43;41;42;42;42;42;42;42;42
Вологодская область;1355;1333;1290;1255;1245;1235;1228;1223;1218;1214
Калининградская область;881;940;958;950;945;940;937;937;937;938
Ленинградская область;1667;1686;1680;1660;1653;1644;1638;1633;1632;1629
Мурманская область;1191;1037;923;880;873;864;857;851;843;837
Новгородская область;753;735;710;683;674;665;657;652;646;641
Псковская область;844;826;782;748;737;725;714;706;696;689
г. Санкт-Петербург;5002;4820;4715;4624;4600;4581;4571;4568;4582;4600
Республика Адыгея;435;450;447;445;445;443;441;441;443;443
Республика Дагестан;1820;2218;2486;2602;2622;2641;2659;2688;2712;2737
Республика Ингушетия;189;282;446;476;482;487;493;499;508;517
Кабардино-Балкарская Республика;762;835;887;899;897;894;891;891;892;894
Республика Калмыкия;325;315;307;291;290;289;287;286;284;283
Карачаево-Черкесская Республика;419;438;441;437;435;431;429;427;427;427
Республика Северная Осетия - Алания;646;677;704;707;704;702;701;702;702;701
Чеченская Республика;1101;1225;997;1121;1141;1163;1184;1209;1239;1268
Краснодарский край;4638;5076;5133;5106;5100;5096;5101;5122;5142;5161
Ставропольский край;2436;2691;2741;2726;2718;2710;2701;2705;2707;2711
Астраханская область;998;1019;1009;1001;998;994;994;1001;1005;1007
Волгоградская область;2620;2738;2725;2673;2655;2636;2620;2609;2599;2590
Ростовская область;4308;4491;4439;4366;4334;4304;4276;4255;4242;4230
Республика Башкортостан;3941;4084;4115;4092;4079;4063;4051;4053;4057;4066
Республика Марий Эл;754;756;739;722;717;712;707;703;700;698
Республика Мордовия;964;949;908;876;866;857;848;840;833;827
Республика Татарстан;3654;3761;3787;3773;3769;3762;3760;3763;3769;3778
Удмуртская Республика;1612;1613;1588;1560;1553;1544;1538;1533;1529;1526
Чувашская Республика;1337;1344;1328;1305;1299;1292;1286;1282;1279;1278
Пермский край;3028;2944;2859;2791;2770;2748;2731;2718;2708;2701
Кировская область;1652;1609;1537;1479;1461;1443;1427;1413;1401;1391
Нижегородская область;3780;3711;3595;3479;3445;3411;3381;3360;3341;3324
Оренбургская область;2151;2218;2203;2163;2150;2138;2126;2119;2112;2113
Пензенская область;1546;1546;1484;1436;1423;1408;1396;1388;1380;1373
Самарская область;3236;3307;3276;3218;3201;3189;3178;3173;3171;3170
Саратовская область;2698;2737;2699;2644;2626;2608;2595;2584;2573;2565
Ульяновская область;1411;1470;1414;1364;1351;1336;1322;1312;1305;1299
Курганская область;1107;1090;1047;1004;992;980;969;960;953;947
Свердловская область;4766;4660;4546;4448;4428;4410;4400;4396;4395;4394
Тюменская область;3150;3176;3234;3290;3308;3323;3345;3374;3399;3430
Ханты-Мансийский автономный округ - Югра;1267;1303;1383;1457;1469;1478;1488;1505;1520;1539
Ямало-Ненецкий автономный округ;489;487;498;515;523;531;539;543;544;546
Челябинская область;3702;3680;3644;3574;3551;3531;3517;3511;3508;3509
Республика Алтай;193;200;203;203;204;204;205;207;209;211
Республика Бурятия;1048;1033;997;974;969;964;960;960;961;963
Республика Тыва;313;305;306;306;308;309;309;312;314;317
Республика Хакасия;571;570;554;543;541;538;537;537;538;539
Алтайский край;2641;2688;2641;2583;2565;2543;2523;2508;2497;2491
Забайкальский край;1320;1248;1179;1144;1136;1128;1122;1119;1117;1117
Красноярский край;3156;3100;3001;2942;2925;2906;2894;2890;2890;2894
Иркутская область;2795;2727;2623;2561;2545;2527;2514;2508;2505;2503
Кемеровская область;3099;3048;2943;2872;2855;2839;2826;2823;2822;2821
Новосибирская область;2742;2733;2715;2673;2662;2650;2641;2636;2640;2650
Омская область;2153;2162;2117;2059;2047;2035;2026;2018;2014;2012
Томская область;1075;1069;1054;1041;1037;1034;1033;1035;1038;1043
Республика Саха (Якутия);1111;1020;958;949;951;950;950;951;950;949
Камчатский край;477;407;367;355;352;349;347;346;344;342
Приморский край;2297;2242;2120;2051;2036;2019;2006;1996;1988;1982
Хабаровский край;1620;1544;1460;1427;1420;1412;1405;1404;1402;1400
Амурская область;1056;986;923;894;887;881;875;870;864;861
